"project","language","article","access","agent","granularity","date","views"
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-22,158
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-23,169
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-24,189
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-25,142
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-26,143
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-27,130
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-28,134
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-29,141
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-30,151
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-01-31,175
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-01,172
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-02,191
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-03,130
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-04,105
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-05,167
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-06,149
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-07,183
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-08,158
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-09,161
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-10,174
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-11,128
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-12,155
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-13,160
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-14,161
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-15,161
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-16,202
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-17,191
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-18,153
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-19,214
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-20,188
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-21,180
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-22,197
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-23,204
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-24,147
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-25,129
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-26,157
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-27,201
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-02-28,203
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-01,187
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-02,187
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-03,191
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-04,157
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-05,152
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-06,190
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-07,216
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-08,148
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-09,182
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-10,189
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-11,118
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-12,166
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-13,153
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-14,185
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-15,214
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-16,169
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-17,149
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-18,123
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-19,176
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-20,206
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-21,189
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-22,167
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-23,205
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-24,182
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-25,174
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-26,213
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-27,218
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-28,227
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-29,291
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-30,212
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-03-31,185
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-01,155
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-02,188
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-03,174
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-04,206
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-05,178
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-06,201
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-07,164
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-08,129
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-09,141
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-10,164
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-11,188
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-12,222
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-13,212
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-14,143
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-15,145
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-16,146
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-17,179
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-18,153
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-19,186
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-20,217
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-21,184
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-22,122
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-23,142
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-24,195
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-25,191
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-26,210
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-27,188
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-28,166
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-29,148
"wikipedia","en","Hawksbill_sea_turtle","mobile-web","user","daily",2017-04-30,143
