accuracy_(1_high;_2_name_covers_several_sp_eg_sifaka_or_skua;_3_very_generic_eg_mouse_or_crab;_4_confusion_name),episode,date,viewers_(citation:_BARB),multiple,first,last,seconds,diaries,location,taxa,taxa_aves,status,status2,twitter,tweet_count,max_wiki_hit,wiki,baseline_mobile_median,baseline_mobile_mean,wiki_diff_mean,wiki_diff_median,mobile_anomaly_1%,mobile_anomaly_2%,desktop_anomaly_1%,desktop_anomaly_2%,arkive_supplied_data?,arkive,arkive_comments,wiki_other_IMPROVE,popularity,notes
2,5,04/12/16,11.5443,1,17,21,240,0,african savannah,aves,coraciiformes,lc,1,bee-eater,27,88,Southern carmine bee eater,5,5,83,83,2,2,2,2,?,Southern carmine bee-eater (Merops nubicoides),,Bee-eater,,
3,5,04/12/16,11.5443,1,34,35,64,0,south america,insecta,na,na,na,na,na,991,Termite,758,842,149,233,0,0,0,0,1,na,,,,
1,5,04/12/16,11.5443,1,49,57,505,yes,"Kaziranga, India",carnivora,na,en,4,tiger,85,5041,Tiger,3473,3513,1528,1568,0,0,0,0,1,Tiger (Panthera tigris),,,,
2,5,04/12/16,11.5443,1,41,42,22,0,north america,rodentia,na,na,na,vole,33,609,Vole,549,562,47,60,0,0,0,0,,na,,,,
1,5,04/12/16,11.5443,1,49,56,407,yes,"Kaziranga, India",artiodactyla,na,en,4,buffalo,79,268,Wild water buffalo,126,132,136,142,0,0,0,0,1,Asian buffalo (Bubalus bubalis),arkive name seems incorrect,,,
2,5,04/12/16,11.5443,1,26,26,36,0,african savannah,artiodactyla,na,lc,1,wildebeest,6,863,Wildebeest,452,470,393,411,1,1,0,0,1,Blue wildebeest (Connochaetes taurinus),,Blue wildebeest,,
1,6,11/12/16,11.1034,2,1,58,607,yes,"jodhpur, india",primates,na,lc,1,langur,9,67,Colobinae,29,30,37,38,0,0,0,0,?,Southern plains gray langur (Semnopithecus dussumieri),other similar sp on arkive,Gray langur,,
3,6,11/12/16,11.1034,1,41,42,36,0,na,malacostraca,na,na,na,crab,10,800,Crab,783,798,2,17,0,0,0,0,,na,,,,
1,6,11/12/16,11.1034,1,18,23,290,0,"Townsville, Australia",aves,passeriformes,lc,1,bowerbird,52,61,Great bowerbird,3,3,58,58,2,2,1,2,,na,other similar sp on arkive,Bowerbird,,
1,6,11/12/16,11.1034,1,40,44,241,0,na,reptilia,na,cr,5,turtle,652,359,Hawksbill sea turtle,130,135,224,229,2,2,0,1,1,Hawksbill turtle (Eretmochelys imbricata),,,,
1,6,11/12/16,11.1034,2,11,57,451,yes,"mumbai, india",carnivora,na,vu,3,leopard,432,3081,Leopard,1493,1520,1561,1588,1,1,0,0,1,Leopard (Panthera pardus),,,,
na,6,11/12/16,11.1034,1,13,15,114,0,"mumbai, india",artiodactyla,na,na,na,na,na,,na,,NA,#VALUE!,0,NA,NA,NA,NA,1,na,,,,
1,6,11/12/16,11.1034,1,7,11,236,0,new york,aves,accipitriformes,lc,1,falcon,30,2134,Peregrine falcon,945,1017,1117,1189,0,1,0,0,1,Peregrine falcon (Falco peregrinus),,Falcon,,
1,6,11/12/16,11.1034,1,35,38,209,0,"Albi, France",aves,columbiformes,lc,1,pigeon,64,90,Pigeon,82,85,5,8,0,0,0,0,1,Common pigeon (Columba livia),,,,
1,6,11/12/16,11.1034,1,23,27,223,0,Toronto,carnivora,na,lc,1,racoon,49,4685,Raccoon,2035,2090,2595,2650,1,1,0,0,1,Northern raccoon (Procyon lotor),,,,
1,6,11/12/16,11.1034,1,27,30,167,0,"Jaipur, India",primates,na,lc,1,macaque,14,482,Rhesus macaque,198,208,274,284,0,1,0,0,1,Rhesus macaque (Macaca mulatta),,,,
1,6,11/12/16,11.1034,1,46,46,15,0,Singapur,carnivora,na,vu,3,otter,19,49,Smooth-coated otter,29,30,19,20,0,0,0,0,1,Smooth-coated otter (Lutrogale perspicillata),,,,
1,6,11/12/16,11.1034,1,30,35,302,0,"Harar, Ethiopia",carnivora,na,lc,1,hyena,33,1942,Spotted hyena,360,415,1527,1582,1,2,0,2,1,Spotted hyaena (Crocuta crocuta),,,,
2,6,11/12/16,11.1034,1,15,18,155,0,rome,aves,passeriformes,lc,1,starling,171,902,Starling,312,334,568,590,1,1,0,0,1,European starling (Sturnus vulgaris),,Common starling,,
1,6,11/12/16,11.1034,1,36,38,166,0,"Albi, France",actinopterygii,na,lc,1,catfish,73,2301,Wels catfish,175,258,2043,2126,2,2,1,2,,na,,,,
