Day Index,Product Revenue,standardised
04/11/2016,22.50,-0.388015836
05/11/2016,30.00,-0.365187358
06/11/2016,20.00,-0.395625328
07/11/2016,157.00,0.021374856
08/11/2016,53.66,-0.293171122
09/11/2016,4.77,-0.441982356
10/11/2016,290.00,0.426199853
11/11/2016,100.00,-0.152121571
12/11/2016,24.00,-0.38345014
13/11/2016,650.00,1.52196676
14/11/2016,315.00,0.502294777
15/11/2016,65.00,-0.258654465
16/11/2016,120.00,-0.091245631
17/11/2016,82.00,-0.206909916
18/11/2016,130.00,-0.060807662
19/11/2016,111.00,-0.118639804
20/11/2016,90.00,-0.18255954
21/11/2016,60.00,-0.273873449
22/11/2016,20.00,-0.395625328
23/11/2016,102.07,-0.145820911
24/11/2016,570.00,1.278463003
25/11/2016,270.00,0.365323913
26/11/2016,580.61,1.310757689
27/11/2016,350.00,0.608827671
28/11/2016,515.00,1.11105417
29/11/2016,159.23,0.028162524
30/11/2016,98.50,-0.156687266
01/12/2016,290.00,0.426199853
02/12/2016,0.00,-0.456501267
03/12/2016,77.00,-0.222128901
04/12/2016,2.70,-0.448283015
05/12/2016,130.00,-0.060807662
06/12/2016,80.00,-0.21299751
07/12/2016,75.00,-0.228216495
08/12/2016,0.00,-0.456501267
09/12/2016,25.00,-0.380406343
10/12/2016,20.00,-0.395625328
11/12/2016,391.48,0.735084369
12/12/2016,16.00,-0.407800516
13/12/2016,326.00,0.535776543
14/12/2016,70.00,-0.24343548
15/12/2016,3417.00,9.944152964
16/12/2016,191.00,0.124863953
17/12/2016,70.00,-0.24343548
18/12/2016,70.00,-0.24343548
19/12/2016,130.00,-0.060807662
20/12/2016,334.50,0.561648818
21/12/2016,415.00,0.806674473
22/12/2016,185.00,0.106601171
23/12/2016,85.00,-0.197778525
24/12/2016,185.00,0.106601171
25/12/2016,64.00,-0.261698262
26/12/2016,90.00,-0.18255954
27/12/2016,27.00,-0.374318749
28/12/2016,230.00,0.243572035
29/12/2016,125.00,-0.076026647
30/12/2016,150.00,6.82775E-05
31/12/2016,330.00,0.547951731
