project,language,article,access,agent,granularity,date,views
wikipedia,en,Arctic_wolf,desktop,user,daily,09/01/2017,393
wikipedia,en,Arctic_wolf,desktop,user,daily,10/01/2017,447
wikipedia,en,Arctic_wolf,desktop,user,daily,11/01/2017,438
wikipedia,en,Arctic_wolf,desktop,user,daily,12/01/2017,454
wikipedia,en,Arctic_wolf,desktop,user,daily,13/01/2017,385
wikipedia,en,Arctic_wolf,desktop,user,daily,14/01/2017,195
wikipedia,en,Arctic_wolf,desktop,user,daily,15/01/2017,200
wikipedia,en,Arctic_wolf,desktop,user,daily,16/01/2017,328
wikipedia,en,Arctic_wolf,desktop,user,daily,17/01/2017,456
wikipedia,en,Arctic_wolf,desktop,user,daily,18/01/2017,485
wikipedia,en,Arctic_wolf,desktop,user,daily,19/01/2017,484
wikipedia,en,Arctic_wolf,desktop,user,daily,20/01/2017,434
wikipedia,en,Arctic_wolf,desktop,user,daily,21/01/2017,174
wikipedia,en,Arctic_wolf,desktop,user,daily,22/01/2017,200
wikipedia,en,Arctic_wolf,desktop,user,daily,23/01/2017,490
wikipedia,en,Arctic_wolf,desktop,user,daily,24/01/2017,524
wikipedia,en,Arctic_wolf,desktop,user,daily,25/01/2017,481
wikipedia,en,Arctic_wolf,desktop,user,daily,26/01/2017,437
wikipedia,en,Arctic_wolf,desktop,user,daily,27/01/2017,432
wikipedia,en,Arctic_wolf,desktop,user,daily,28/01/2017,200
wikipedia,en,Arctic_wolf,desktop,user,daily,29/01/2017,183
wikipedia,en,Arctic_wolf,desktop,user,daily,30/01/2017,480
wikipedia,en,Arctic_wolf,desktop,user,daily,31/01/2017,472
wikipedia,en,Arctic_wolf,desktop,user,daily,01/02/2017,451
wikipedia,en,Arctic_wolf,desktop,user,daily,02/02/2017,483
wikipedia,en,Arctic_wolf,desktop,user,daily,03/02/2017,428
wikipedia,en,Arctic_wolf,desktop,user,daily,04/02/2017,154
wikipedia,en,Arctic_wolf,desktop,user,daily,05/02/2017,195
wikipedia,en,Arctic_wolf,desktop,user,daily,06/02/2017,462
wikipedia,en,Arctic_wolf,desktop,user,daily,07/02/2017,454
wikipedia,en,Arctic_wolf,desktop,user,daily,08/02/2017,435
wikipedia,en,Arctic_wolf,desktop,user,daily,09/02/2017,417
wikipedia,en,Arctic_wolf,desktop,user,daily,10/02/2017,449
